,prompts,label
0,What are the symptoms of a heart attack?,0
1,How do you differentiate between a heart attack and a panic attack?,0
2,What are the risk factors for heart disease?,0
3,How can we reduce the risk of heart disease in patients with diabetes?,0
4,What are the signs of heart failure?,0
5,How do you manage a patient with an acute coronary syndrome?,0
6,What are the indications for thrombolysis in a patient with a ST-elevation myocardial infarction?,0
7,How do you perform a 12-lead ECG?,0
8,What are the contraindications for aspirin therapy in a patient with a suspected heart attack?,0
9,How do you manage a patient with a cardiac arrest?,0
10,What are the guidelines for the use of a automated external defibrillator (AED)?,0
11,How do you recognize and manage a patient with pulmonary edema?,0
12,What are the signs of an aortic dissection?,0
13,How do you manage a patient with a pericardial tamponade?,0
14,What are the indications for cardiac catheterization in a patient with chest pain?,0
15,How do you interpret a troponin level in a patient with chest pain?,0
16,What are the indications for coronary artery bypass grafting (CABG)?,0
17,How do you manage a patient with a ventricular tachycardia?,0
18,What are the indications for an implantable cardioverter-defibrillator (ICD)?,0
19,How do you manage a patient with a bradycardia?,0
20,What are the indications for a pacemaker implantation?,0
21,How do you manage a patient with a tachycardia?,0
22,What are the indications for an ablation procedure for an arrhythmia?,0
23,How do you manage a patient with a stroke?,0
24,What are the indications for anticoagulation therapy in a patient with atrial fibrillation?,0
25,How do you manage a patient with a deep vein thrombosis (DVT)?,0
26,What are the indications for a peripheral artery bypass grafting (PABG)?,0
27,How do you manage a patient with an abdominal aortic aneurysm (AAA)?,0
28,What are the indications for a carotid endarterectomy?,0
29,How do you manage a patient with a hypertensive emergency?,0
30,What are the indications for a kidney transplant in a patient with chronic kidney disease (CKD) and heart disease?,0
31,How do you manage a patient with a Marfan syndrome?,0
32,What are the indications for a heart transplant?,0
33,How do you manage a patient with a pulmonary hypertension?,0
34,What are the indications for a left ventricular assist device (LVAD)?,0
35,How do you manage a patient with a sepsis and a heart disease?,0
36,What are the indications for a coronary artery stenting?,0
37,How do you manage a patient with a takotsubo syndrome?,0
38,What are the indications for a transcatheter aortic valve replacement (TAVR)?,0
39,How do you manage a patient with a heart valve disease?,0
40,What are the indications for a cardiac resynchronization therapy (CRT)?,0
41,How do you manage a patient with a heart block?,0
42,What are the indications for a heart-lung transplant?,0
43,How do you manage a patient with a cardiogenic shock?,0
44,What are the indications for a pulmonary artery catheterization?,0
45,How do you manage a patient with a hypertrophic cardiomyopathy?,0
46,What are the indications for a cardiac magnetic resonance imaging (MRI)?,0
47,How do you manage a patient with a dilated cardiomyopathy?,0
48,What are the indications for a cardiac computed tomography (CT) scan?,0
49,How do you manage a patient with a congenital heart disease?,0
50,What are the indications for a cardiac positron emission tomography (PET) scan?,0
51,How do you manage a patient with a myocarditis?,0
52,What are the indications for a cardiac catheterization in a pediatric patient?,0
53,How do you manage a patient with a Kawasaki disease?,0
54,What are the indications for a cardiac surgery in a neonate?,0
55,How do you manage a patient with a pulmonary embolism?,0
56,What are the indications for a pulmonary thromboendarterectomy?,0
57,How do you manage a patient with a cardiac arrhythmia during pregnancy?,0
58,What are the indications for a fetal echocardiography?,0
59,How do you manage a patient with a peripartum cardiomyopathy?,0
60,What are the indications for a cardiac rehabilitation program?,0
61,How do you manage a patient with a heart disease and a substance abuse?,0
62,What are the indications for a cardiac CT angiography?,0
63,How do you manage a patient with a heart disease and a HIV infection?,0
64,What are the indications for a cardiac MRI angiography?,0
65,How do you manage a patient with a heart disease and a cancer?,0
66,What are the indications for a cardiac PET scan with radiotracers?,0
67,How do you manage a patient with a heart disease and a chronic obstructive pulmonary disease (COPD)?,0
68,What are the indications for a cardiac CT calcium scoring?,0
69,How do you manage a patient with a heart disease and a systemic lupus erythematosus (SLE)?,0
70,What are the indications for a cardiac CT fractional flow reserve (FFR)?,0
71,How do you manage a patient with a heart disease and a rheumatoid arthritis?,0
72,What are the indications for a cardiac CT with coronary artery calcium scoring?,0
73,How do you manage a patient with a heart disease and a sickle cell disease?,0
74,What are the indications for a cardiac CT with coronary angiography?,0
75,How do you manage a patient with a heart disease and a thyroid disease?,0
76,What are the indications for a cardiac CT with coronary plaque characterization?,0
77,How do you manage a patient with a heart disease and a kidney disease?,0
78,What are the indications for a cardiac CT with coronary stent imaging?,0
79,How do you manage a patient with a heart disease and a liver disease?,0
80,What are the indications for a cardiac CT with coronary vessel analysis?,0
81,How do you manage a patient with a heart disease and a neurological disease?,0
82,What are the indications for a cardiac CT with dynamic coronary artery imaging?,0
83,How do you manage a patient with a heart disease and a psychiatric disease?,0
84,What are the indications for a cardiac CT with high-pitch spiral acquisition?,0
